year,round,instituteName,instituteType,state,branchName,branchShortCode,quota,seatPool,category,openingRank,closingRank,sourceUrl
2024,1,NIT Calicut,NIT,Kerala,Computer Science and Engineering,CSE,HS,Gender-Neutral,OPEN,4488,8965,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Computer Science and Engineering,CSE,OS,Gender-Neutral,OPEN,2614,4088,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Electronics and Communication Engineering,ECE,HS,Gender-Neutral,OPEN,4211,11991,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Electronics and Communication Engineering,ECE,OS,Gender-Neutral,OPEN,4103,6838,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Electrical and Electronics Engineering,EE,HS,Gender-Neutral,OPEN,12281,15443,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Electrical and Electronics Engineering,EE,OS,Gender-Neutral,OPEN,7396,10194,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Mechanical Engineering,ME,HS,Gender-Neutral,OPEN,15470,21214,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Mechanical Engineering,ME,OS,Gender-Neutral,OPEN,11682,17925,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Civil Engineering,CE,HS,Gender-Neutral,OPEN,25853,35519,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
2024,1,NIT Calicut,NIT,Kerala,Civil Engineering,CE,OS,Gender-Neutral,OPEN,24067,29580,https://josaa.admissions.nic.in/applicant/SeatAllotmentResult/CurrentORCR.aspx
